date,open,high,low,close,volume,average,barCount
2023-10-31,3.815,3.815,3.815,3.815,0.0,3.815,0
2023-11-01,3.827,3.827,3.827,3.827,0.0,3.827,0
2023-11-02,3.852,3.852,3.852,3.852,0.0,3.852,0
2023-11-03,3.8595,3.8595,3.8595,3.8595,0.0,3.8595,0
2023-11-06,3.9,3.9,3.9,3.9,0.0,3.9,0
2023-11-07,3.881,3.881,3.881,3.881,0.0,3.881,0
2023-11-08,3.8465,3.8465,3.8465,3.8465,0.0,3.8465,0
2023-11-09,3.8475,3.8475,3.8475,3.8475,0.0,3.8475,0
2023-11-10,3.813,3.813,3.813,3.813,0.0,3.813,0
2023-11-13,3.871,3.871,3.871,3.871,0.0,3.871,0
2023-11-14,3.892,3.892,3.892,3.892,0.0,3.892,0
2023-11-15,3.9265,3.9265,3.9265,3.9265,0.0,3.9265,0
2023-11-16,3.9085,3.9085,3.9085,3.9085,0.0,3.9085,0
2023-11-17,3.9415,3.9415,3.9415,3.9415,0.0,3.9415,0
2023-11-20,4.009,4.009,4.009,4.009,0.0,4.009,0
2023-11-21,4.025,4.025,4.025,4.025,0.0,4.025,0
2023-11-22,3.974,3.974,3.974,3.974,0.0,3.974,0
2023-11-23,3.974,3.974,3.974,3.974,0.0,3.974,0
2023-11-24,4.0065,4.0065,4.0065,4.0065,0.0,4.0065,0
2023-11-27,3.9795,3.9795,3.9795,3.9795,0.0,3.9795,0
2023-11-28,4.008,4.008,4.008,4.008,0.0,4.008,0
2023-11-29,3.9935,3.9935,3.9935,3.9935,0.0,3.9935,0
2023-11-30,4.013,4.013,4.013,4.013,0.0,4.013,0
2023-12-01,4.0785,4.0785,4.0785,4.0785,0.0,4.0785,0
2023-12-04,4.005,4.005,4.005,4.005,0.0,4.005,0
2023-12-05,3.9455,3.9455,3.9455,3.9455,0.0,3.9455,0
2023-12-06,3.9005,3.9005,3.9005,3.9005,0.0,3.9005,0
2023-12-07,3.9575,3.9575,3.9575,3.9575,0.0,3.9575,0
2023-12-08,3.9725,3.9725,3.9725,3.9725,0.0,3.9725,0
2023-12-11,3.9285,3.9285,3.9285,3.9285,0.0,3.9285,0
2023-12-12,3.9185,3.9185,3.9185,3.9185,0.0,3.9185,0
2023-12-13,3.91,3.91,3.91,3.91,0.0,3.91,0
2023-12-14,4.0005,4.0005,4.0005,4.0005,0.0,4.0005,0
2023-12-15,3.991,3.991,3.991,3.991,0.0,3.991,0
